CMDLINE C:\Users\emaxafo\PycharmProjects\OOP\.venv\Scripts\python.exe Calculator_profiler.py
MEM 2.109375 1721928416.1389
MEM 6.312500 1721928416.2402
MEM 6.312500 1721928416.3410
MEM 6.312500 1721928416.4417
