CMDLINE C:\Users\emaxafo\PycharmProjects\OOP\.venv\Scripts\python.exe Calculator_profiler.py
MEM 2.109375 1721929625.2419
MEM 6.312500 1721929625.3555
MEM 6.312500 1721929625.4559
MEM 6.312500 1721929625.5567
