CMDLINE C:\Users\emaxafo\PycharmProjects\OOP\.venv\Scripts\python.exe Calculator_profiler.py
MEM 2.109375 1721929565.1639
MEM 6.308594 1721929565.2655
MEM 6.308594 1721929565.3660
MEM 6.308594 1721929565.4664
