CMDLINE C:\Users\emaxafo\PycharmProjects\OOP\.venv\Scripts\python.exe Calculator_profiler.py
MEM 2.105469 1721928713.4224
MEM 5.355469 1721928713.5245
MEM 6.308594 1721928713.6253
MEM 6.308594 1721928713.7260
MEM 6.308594 1721928713.8264
