CMDLINE C:\Users\emaxafo\PycharmProjects\OOP\.venv\Scripts\python.exe Calculator_profiler.py
MEM 2.109375 1721929351.9697
MEM 6.308594 1721929352.0728
MEM 6.308594 1721929352.1749
MEM 6.308594 1721929352.2755
MEM 6.308594 1721929352.3761
