CMDLINE C:\Users\emaxafo\PycharmProjects\OOP\.venv\Scripts\python.exe Calculator_profiler.py
MEM 2.214844 1721929679.3920
MEM 6.308594 1721929679.4937
MEM 6.308594 1721929679.5941
MEM 6.308594 1721929679.6948
