CMDLINE C:\Users\emaxafo\PycharmProjects\OOP\.venv\Scripts\python.exe Calculator_profiler.py
MEM 2.105469 1721929479.4455
MEM 6.308594 1721929479.5485
MEM 6.308594 1721929479.6489
MEM 6.308594 1721929479.7492
